"","PRECINCT_NUMBER","ELECTION_DATE","ELECTION_NAME","WARD","PARTY","BALLOTS CAST - DEMOCRATIC","REGISTERED VOTERS - DEMOCRATIC","TURNOUT","UNDERVOTE","NORTON_VOTE","OTHERVOTE","VOTES","TOTALSHARE"
"1","1","2012","D.C. Primary Election","6","DEM","345","3799",0.09,"34","306","5",345,0.1
"2","2","2012","D.C. Primary Election","2","DEM","37","483",0.08,"2","31","4",37,0.01
"3","3","2012","D.C. Primary Election","2","DEM","249","1394",0.18,"17","224","8",249,0.07
"4","4","2012","D.C. Primary Election","2","DEM","179","1570",0.11,"14","160","5",179,0.05
"5","5","2012","D.C. Primary Election","2","DEM","329","2312",0.14,"38","277","14",329,0.1
"6","6","2012","D.C. Primary Election","2","DEM","271","2533",0.11,"30","235","6",271,0.08
"7","7","2012","D.C. Primary Election","3","DEM","177","1198",0.15,"16","156","5",177,0.05
"8","8","2012","D.C. Primary Election","3","DEM","466","2377",0.2,"59","380","27",466,0.14
"9","9","2012","D.C. Primary Election","3","DEM","198","1189",0.17,"22","167","9",198,0.06
"10","10","2012","D.C. Primary Election","3","DEM","351","1952",0.18,"34","300","17",351,0.1
"11","11","2012","D.C. Primary Election","3","DEM","400","3619",0.11,"37","343","20",400,0.12
"12","12","2012","D.C. Primary Election","3","DEM","76","507",0.15,"11","61","4",76,0.02
"13","13","2012","D.C. Primary Election","2","DEM","244","1291",0.19,"31","206","7",244,0.07
"14","14","2012","D.C. Primary Election","2","DEM","305","2833",0.11,"22","273","10",305,0.09
"15","15","2012","D.C. Primary Election","2","DEM","402","3032",0.13,"30","354","18",402,0.12
"16","16","2012","D.C. Primary Election","2","DEM","499","3501",0.14,"37","431","31",499,0.15
"17","17","2012","D.C. Primary Election","2","DEM","508","4399",0.12,"48","442","18",508,0.15
"18","18","2012","D.C. Primary Election","6","DEM","481","3781",0.13,"24","447","10",481,0.14
"19","19","2012","D.C. Primary Election","5","DEM","454","3863",0.12,"25","419","10",454,0.14
"20","20","2012","D.C. Primary Election","1","DEM","91","1805",0.05,"5","82","4",91,0.03
"21","21","2012","D.C. Primary Election","6","DEM","165","1049",0.16,"12","151","2",165,0.05
"22","22","2012","D.C. Primary Election","1","DEM","435","3346",0.13,"27","393","15",435,0.13
"23","23","2012","D.C. Primary Election","1","DEM","257","2442",0.11,"13","233","11",257,0.08
"24","24","2012","D.C. Primary Election","1","DEM","276","2375",0.12,"16","250","10",276,0.08
"25","25","2012","D.C. Primary Election","1","DEM","627","3861",0.16,"73","535","19",627,0.19
"26","26","2012","D.C. Primary Election","3","DEM","437","2809",0.16,"29","393","15",437,0.13
"27","27","2012","D.C. Primary Election","3","DEM","499","2542",0.2,"47","435","17",499,0.15
"28","28","2012","D.C. Primary Election","3","DEM","444","2559",0.17,"51","373","20",444,0.13
"29","29","2012","D.C. Primary Election","3","DEM","240","1395",0.17,"28","202","10",240,0.07
"30","30","2012","D.C. Primary Election","3","DEM","348","1348",0.26,"42","288","18",348,0.1
"31","31","2012","D.C. Primary Election","3","DEM","558","2423",0.23,"58","472","28",558,0.17
"32","32","2012","D.C. Primary Election","3","DEM","678","2769",0.24,"62","582","34",678,0.2
"33","33","2012","D.C. Primary Election","3","DEM","650","2916",0.22,"65","568","17",650,0.19
"34","34","2012","D.C. Primary Election","3","DEM","617","3446",0.18,"47","546","24",617,0.18
